编号	名称	原文	译文	初翻人员	校对	润色	备注
UI-1	SI_SCOREBOARD_HELPER_DESCRIPTION_HEADER	Rules:	规则：	cttuiv	
UI-2	SI_GAMEPAD_COLLECTIONS_NICKNAME_FORMAT	\"<<1>>\			
UI-3	SI_GAMEPAD_CAMPAIGN_BROWSER_PEOPLE_AMOUNT	<<1>>			
UI-4	SI_MAIL_ATTACHMENTS_CHANGED_TITLE	Attachments Changed			
UI-5	SI_TIME_FORMAT_HHMMSSMS_DESC_SHORT	<<1>>h <<2>>m <<3>>s <<4>>ms			
UI-6	SI_CHARACTERAPPEARANCENAME3	Adornment			
UI-7	SI_ITEMQUALITY2	Fine			
UI-8	SI_SMITHING_SELECTED_PATTERN_NO_TRAITS	<<1>>			
UI-9	SI_GAMEPAD_CONTACTS_OPTIONS_FILTER_NONE	None			
UI-10	SI_ACCOUNTCREATELINKERROR4	That User ID has either already been linked to a different Xbox Live account or this Xbox Live account has already been linked to another User ID. Please enter a different User ID or the User ID associated with this Xbox Live account.			
UI-11	SI_MEDAL_NOTIFIER_MESSAGE	Medal earned: <<1>>			
UI-12	SI_SOCIAL_OPTIONS_OFFICER3_COLOR_TOOLTIP	Adjusts the color of officer specific messages from the guild associated with guild slot 3.			
UI-13	SI_CHARGE_WEAPON_TITLE	Charge Weapon			
UI-14	SI_GAMEPAD_CONTACTS_REMOVE_FRIEND_CONFIRM_MESSAGE	Remove <<1>>?			
UI-15	SI_ZONESCORETYPE0	None			
UI-16	SI_STAT_TOOLTIP_HEALTH_MAX	Affects the amount of Damage you can take before dying.			
UI-17	SI_CONSOLE_LINKACCOUNT_NOPASSWORD	You did not enter a password.			
UI-18	SI_QUEUEFORCAMPAIGNRESPONSETYPE14	The campaign is full.			
UI-19	SI_GAMEPAD_MARKET_BUNDLES	Bundles			
UI-20	SI_DEFAULTSOULGEMCHOICE0	|t16:16:EsoUI/Art/currency/currency_gold.dds|t Gold Purchased			
UI-21	SI_CHANNEL_SWITCH_GUILD_3	/guild3 /g3			
UI-22	SI_EQUIPTYPE3	Chest	胸	cttuiv	
UI-23	SI_INTERFACE_OPTIONS_HEALTHBARS_FRIENDLY_PLAYER_TOOLTIP	Controls the display of the overhead healthbar above friendly players.			
UI-24	SI_FRIENDS_LIST_FRIEND_CHARACTER_LOGGED_OFF	<<1>> has logged off with <<2>>.			
UI-25	SI_BINDING_NAME_COMMAND_PET	Command Pet			
UI-26	SI_AVA_OBJECTIVE_ARTIFACT_TOOLTIP	<<1>>			
UI-27	SI_SKILLS_ULTIMATE_ABILITIES	Ultimate Abilities			
UI-28	SI_DIALOG_YES	Yes	是	cttuiv	
UI-29	SI_BUY_RECEIPT_MONEY_SPECIAL1	You bought <<2[1/$d]>> <<tm:1>> for <<3>>, and <<4>>.			
UI-30	SI_BAD_LOGIN	Your login information was incorrect. Please try again.	登录信息错误。请重试。	cttuiv	
UI-31	SI_GAMEPAD_CONTACTS_ADD_IGNORE_BUTTON_LABEL	Add Ignore			
UI-32	SI_WORLD_MAP_OPTION_SHOW_QUESTS	Show quest list			
UI-33	SI_RESURRECT_MESSAGE	|cffffff<<1>>|r wants to resurrect you. Expires in <<2>>.			
UI-34	SI_CHATCHANNELCATEGORIES3	Incoming Whispers			
UI-35	SI_KEYBINDINGS_KEYBOARD_RESET_TITLE	Reset Keyboard Bindings to Defaults			
UI-36	SI_GAMEPAD_CAMPAIGN_BROWSER_CAMPAIGNS_HEADER_DATA_FORMAT	<<1>>/<<2>>			
UI-37	SI_INTERFACE_OPTIONS_INTERACTABLE_GLOWS_INTENSITY	Glow Intensity			
UI-38	SI_AUDIO_OPTIONS_UI_ENABLED	User Interface	用户界面	cttuiv	
UI-39	SI_ITEM_ABILITY_SCALING_CHAMPION_POINTS_RANGE	Scales from <<X:1>><<2>> to <<X:1>><<3>>			
UI-40	SI_NOTIFICATION_CAMPAIGN_QUEUE_MESSAGE_INDIVIDUAL	You may now enter the Cyrodiil campaign, |cffffff<<1>>|r. Expires in |cffffff<<2>>|r.			
UI-41	SI_GAMEPAD_MAIL_INBOX_OPTIONS	Options			
UI-42	SI_TRADING_HOUSE_BROWSE_ITEM_TYPE_ALL_ONE_HANDED_WEAPONS	All One-Handed			
UI-43	SI_TRADING_HOUSE_POSTING_TH_CUT	House Cut			
UI-44	SI_HOTBARRESULT3	You don't know that ability.			
UI-45	SI_TEMPLATE_NONE	None			
UI-46	SI_EULA_BUTTON_DISAGREE	I Disagree			
UI-47	SI_GAMEPAD_TRADE_INVENTORY_SPACES	<<1>>/<<2>>			
UI-48	SI_GAMEPAD_HELP_FIELD_TITLE_CATEGORY	Issue Category			
UI-49	SI_SOCIAL_LIST_PANEL_HEADER_DISPLAY_NAME	UserID			
UI-50	SI_ABILITYPROGRESSIONRESULT5	You don't have enough gold to upgrade that.	没有足够的钱来升级。	cttuiv	
UI-51	SI_SENDMAILRESULT10	Please wait: processing prior request.			
UI-52	SI_TRIAL_STARTED	Started: <<1>> Trial			
UI-53	SI_AUDIOSPEAKERCONFIGURATIONS3	2.1			
UI-54	SI_CHAMPION_CONFIRM_SPEND_POINTS_ACTION	Confirm			
